dia,mes,hora,municipio,bairro,localidade,mortos,feridos,civis mortos,civis_feridos,agentes_mortos,agentes feridos,motivo,detalhes da vitima
18,2,11:00,Rio de Janeiro,Bangu,"Rua Cobe, próximo da Rua Rio da Prata",3,4,2,4,1,0,Tentativa de roubo,Desconhecido
20,2,,Rio de Janeiro,Campo Grande,"Estrada Rio-São Paulo, altura Campo Grande",1,0,0,0,1,0,Tentativa de roubo,Militar Exército
20,2,16:30,Rio de Janeiro,Taquara,"Caminho do Outeiro, Jacarepaguá",0,1,0,0,0,1,Desconhecido,Desconhecido
21,2,,Rio de Janeiro,Freguesia,"Estr. do Gabinal - Freguesia (Jacarepaguá), Rio de Janeiro - RJ, Brasil",1,0,0,0,1,0,Tentativa de roubo,Policial Militar
21,2,13:00,São Gonçalo,Santa Luzia,Favela do Caroba,0,1,0,0,0,1,Operação,Desconhecido
21,2,,Rio de Janeiro,Pavuna ,Pavuna,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
22,2,,Niterói,Benfica,"Rua Francisco Manoel 126, ",0,1,0,0,0,1,Tentativa de roubo,Desconhecido
22,2,17:00,Niterói,Grogoatá,Próximo a Praça,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
24,2,3:00,Mesquita,Santa Terezinha,Rua da Serra,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
26,2,,Rio de Janeiro,Jardim América,Favela Mendes,0,1,0,0,0,1,Desconhecido,Desconhecido
2,3,,Rio de Janeiro,Madureira,Rua Maria de Freitas,2,1,1,1,1,0,Tentativa de roubo,Desconhecido
2,3,,Nova Iguaçu,Favela Grão Pará,Estarda de Madureira,0,1,0,0,0,1,Confronto,Desconhecido
2,3,,Itaboraí,Manilha,Desconhecido,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
3,3,20:31,Rio de Janeiro,Bangu,Avenida Brasil,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
4,3,6:00,São Gonçalo,Raul Veiga,Desconhecido,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
4,3,4:00,São Gonçalo,Raul Veiga,Rua Augusto Calheiros,0,3,0,2,0,1,Arrastão,Desconhecido
7,3,21:30,Rio de Janeiro,Campo Grande,Rua Taquarembo,1,0,0,0,1,0,Execução,Desconhecido
7,3,10:00,São Gonçalo,Colubandê,Colubandê,0,3,0,2,0,1,Tentativa de roubo,Desconhecido
9,3,20:30,Duque de Caxias,Centenário,Mangueirinha,0,1,0,0,0,1,Desconhecido,Desconhecido
12,3,6:00,Rio de Janeiro,Bonsucesso,Linha Amarela - Vila do Pinheiro,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
13,3,17:00,Rio de Janeiro,Bangu,Estrada Porto Nacional,2,0,1,0,1,0,Tentativa de roubo,Desconhecido
13,3,13:00,Rio de Janeiro,Anchieta,Favela da Via Light,0,1,0,0,0,1,Desconhecido,Desconhecido
16,3,2:30,Rio de Janeiro,Paciência,Avenida Cesário de Melo,2,0,1,0,1,0,Tentativa de roubo,Desconhecido
19,3,15:00,Queimados,Vila das Mangueiras,(Rua Doralice) - Morro da Caixa d'água,1,0,0,0,1,0,Confronto,Desconhecido
19,3,6:20,Rio de Janeiro,Engenho de Dentro,Rua Piauí - Todos Santos,2,1,2,0,0,1,Confronto,Desconhecido
19,3,,São Gonçalo,Mutondo,Morro da Chumbada ,0,1,0,0,0,1,Confronto,Desconhecido
21,3,8:45,Belford Roxo,Bom Pastor,Gogó da Ema,1,0,0,0,1,0,Confronto,Desconhecido
21,3,20:17,Rio de Janeiro,Rocinha ,Boiadeiro,2,0,1,0,1,0,Confronto,Desconhecido
21,3,20:01,Rio de Janeiro,Maracanã,Av. Radial Oeste/ Av. Presidente Castelo Branco,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
22,3,,Duque de Caxias,Pilar,Avenida Presidente Kennedy,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
23,3,22:00,Niterói,Barreto,Rua Dr. Luiz Palmier ,2,0,1,0,1,0,Execução,Desconhecido
23,3,9:30,Rio de Janeiro,Anchieta,Rua Ramos Galvão (Beco do Anchieta),0,1,0,0,0,1,Ataque a agentes de segurança,Desconhecido
27,3,,Rio de Janeiro,Deodoro,"Av Brasil, altura Deodoro",0,1,0,0,0,1,Tentativa de roubo,Desconhecido
27,3,,Rio de Janeiro,Madureira,Morro do Cajueiro,0,1,0,0,0,1,Desconhecido,Bombeiro
27,3,,Nova Iguaçu,Bairro da Prara,Rua Maria Leopoldina,0,1,0,0,0,1,Tentativa de roubo,Policial Militar
28,3,,Rio de Janeiro,Leblon,"Praça Antero de Quental, Leblon",0,1,0,0,0,1,Tentativa de roubo,Desconhecido
29,3,20:00,Belford Roxo,Heliópolis,Rua Austrália,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
30,3,,Rio de Janeiro,Acari,Av Pastor Marthin Luther King,1,0,0,0,1,0,Desconhecido,Desconhecido
30,3,,Rio de Janeiro,Taquara,Estrada da Soca,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
2,4,6:00,Rio de Janeiro,Campinho,Estrada Intendente Magalhães,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
3,4,11:10,Queimados,São Roque,Rua Mondaine,1,0,0,0,1,0,homicídio,Desconhecido
5,4,23:00,Rio de Janeiro,Vila da Penha,Rua Jacaratiá (Largo do Bicão,1,0,0,0,1,0,Desconhecido,Desconhecido
6,4,6:30,Rio de Janeiro,Gamboa,Rua Major Saião (Morro da Providência),0,1,0,0,0,1,Desconhecido,Desconhecido
11,4,8:30,Rio de Janeiro,São Cristóvão,linha vermelha,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
12,4,7:00,Itaguaí,Desconhecido,BR 101 (Rio-Santos) ,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
14,4,6:00,Niterói,São Francisco,Avenida Presidente Roosevelt,1,0,0,0,1,0,Desconhecido,Desconhecido
16,4,6:00,Rio de Janeiro,Méier,Rua Vinte e Quatro de Maio,1,1,1,0,0,1,Tentativa de roubo,Desconhecido
16,4,15:00,Belford Roxo,Parque Floresta,Parque Floresta,0,1,0,0,0,1,Operação,Desconhecido
17,4,16:11,Rio de Janeiro,Campo Grande,Fórum Regional de Campo Grande (no entorno),0,1,0,0,0,1,Tentativa de roubo,Desconhecido
17,4,20:00,Rio de Janeiro,Irajá,Rua Cisplatina,1,2,1,1,0,1,confronto,Desconhecido
18,4,20:52,Rio de Janeiro,Vila Kennedy,Avenida Brasil ,0,1,0,0,0,1,Perseguição,Desconhecido
19,4,18:39,Itaboraí,Marambaia,Conjunto do Banco Nacional de Habitação (BNH),0,1,0,0,0,1,Ação Policial,Desconhecido
23,4,15:00,Rio de Janeiro,Bonsucesso,Desconhecido,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
23,4,9:00,Rio de Janeiro,Santa Teresa,Túnel Santa Bábara,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
26,4,15:00,Rio de Janeiro,Cidade Universitária,Linha Amarela,0,2,0,0,0,2,confronto,Desconhecido
27,4,8:00,Belford Roxo,Nova Piam,Avenida Bob Kennedy,1,0,0,0,1,0,Desconhecido,Agente Penitenciário
27,4,,Rio de Janeiro,Barra da Tijuca,Quebra Mar,0,3,0,1,0,2,Tentativa de roubo,Desconhecido
28,4,6:48,Rio de Janeiro,Praça Seca,Bateau Mouche,1,1,0,0,1,1,Operação,Desconhecido
28,4,5:30,São Gonçalo,Rio do Ouro,Rodovia Amaral Peixoto,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
29,4,5:30,São Gonçalo,Rio do Ouro,Rodovia Amaral Peixoto,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
2,5,7:40,Duque de Caxias,Ibarirê,Avenida Canal,1,0,0,0,1,0,execução,Desconhecido
3,5,6:45,Rio de janeiro,Pechincha/Jacarepaguá,Estrada do Capenha,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
3,5,8:46,Rio de janeiro,Cidade de Deus,Rua Quintanilha,4,3,4,2,0,1,operação,Desconhecido
4,5,10:30,São Gonçalo,Mutua ,Estrada do Covanca (BR- 101),1,1,0,0,1,1,Tentativa de roubo,Desconhecido
4,5,,Duque de Caxias,Pilar,Avenida Governador Leonel de Moura Brizola,0,1,0,0,0,1,Desconhecido,Desconhecido
5,5,11:06,Rio de Janeiro,Vila Isabel,Chelsea - Morro dos Macacos,0,2,0,1,0,1,Ação Policial,Desconhecido
6,5,13:00,Mesquita,BNH,Rodovida Presidenet Dutra,0,1,0,0,0,1,Roubo de Carga,Desconhecido
8,5,20:40,Rio de janeiro,Bráz de Pina,Estrada do Quitungo,1,1,0,1,1,0,execução,Desconhecido
8,5,7:54,São Gonçalo,Itaúna,Complexo do Salgueiro,0,1,0,0,0,1,operação,Desconhecido
9,5,15:00,Rio de janeiro,Rocinha,Rua 1,1,3,0,2,1,1,operação,Desconhecido
11,5,15:00,São João de Meriti,Coelho da Rocha,Desconhecido,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
11,5,15:00,São Gonçalo,Paraíso,Morro do Feijão,1,1,1,0,0,1,operação,Desconhecido
12,5,6:00,Nova Iguaçu,Jardim Tropical,Rodovia Presidente Dutra,1,0,0,0,1,0,homicídio,Desconhecido
12,5,3:00,Rio de janeiro,Maré,Linha Vermelha,0,1,0,0,0,1,bala perdida,Desconhecido
12,5,22:00,Itaboraí,Areal,Desconhecido,0,2,0,1,0,1,Ação Policial,Desconhecido
14,5,6:00,Rio de Janeiro,Rocha,Rua 24 de maio,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
14,5,9:02,Rio de Janeiro,Piedade/Água Santa,Morro do Dezoito,0,1,0,0,0,1,operação,Desconhecido
15,5,15:00,São João de Meriti,Jardim Metrópole,Avenida Comércio,1,0,0,0,1,0,Tentativa de roubo,Agente Penitenciário
16,5,8:00,Rio de Janeiro,Cascadura,Rua Souto ,1,0,0,0,1,0,Tentativa de roubo,Policial Militar
16,5,22:00,Rio de Janeiro,Botafogo,Rua Dezenove de Fevereiro,1,0,0,0,1,0,Tentativa de roubo,Policial Militar
16,5,11:20,São Gonçalo,Colubandê,RJ-104,0,1,0,0,0,1,Ataque a agentes de segurança,Policial Militar
17,5,20:00,Nova Iguaçu,Posse,Viaduto da Posse,1,0,0,0,1,0,assalto,Desconhecido
17,5,7:00,Rio de Janeiro,Catete,Rua do Catete,0,1,0,0,0,1,Desconhecido,Desconhecido
17,5,22:00,Rio de Janeiro,Botafogo,Rua Doutor Xavier Sigaud,0,2,0,1,0,1,Desconhecido,Desconhecido
17,5,,Rio de Janeiro,Catete,Catete,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
18,5,7:24,Rio de Janeiro,Manguinhos,Linha Amarela - saída 7,0,2,0,0,0,2,perseguição,Desconhecido
18,5,9:00,Rio de Janeiro,Cidade de Deus,Cidade de Deus,0,1,0,0,0,1,confronto,Desconhecido
20,5,15:00,Nova Iguaçu,Posse,Avenida Uruguaiana,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
23,5,,São Gonçalo,Miriambi,Miriambi,1,1,1,0,0,1,Desconhecido,Desconhecido
26,5,6:32,Nilópolis,Nilópolis,Desconhecido,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
27,5,7:18,Rio de Janeiro,São Conrado,Rocinha,1,3,1,2,0,1,Ação Policial,Desconhecido
28,5,,Rio de Janeiro,Água Santa,Linha Amarela,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
5,6,20:00,Rio de Janeiro,Centro,Rua de Santana,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
6,6,5:30,Rio de Janeiro,Vila Cosmos,Avenida Vicente de Carvalho,1,0,0,0,1,0,Desconhecido,Desconhecido
7,6,3:00,Duque de Caxias,Vila Leopoldina / Gramacho,Avenida Rio Branco,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
7,6,15:00,Duque de Caxias,Chácaras,Desconhecido,1,0,0,0,1,0,execução,Desconhecido
8,6,,Rio de Janeiro,Urca,Praia Vermelha,7,1,7,0,0,1,operação,Desconhecido
10,6,20:08,Rio de Janeiro,Méier,Rua Dias da Cruz,1,2,1,1,0,1,Desconhecido,Desconhecido
11,6,,Mesquita,Banco de Areia,Rua voltaire,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
12,6,12:52,Rio de Janeiro,Acari,Conjunto Amarelinho,1,0,0,0,1,0,Ação Policial,Desconhecido
12,6,8:30,São Gonçalo,Jardim Catarina,Desconhecido,0,1,0,0,0,1,confronto,Desconhecido
12,6,15:00,São Gonçalo,Jardim Catarina,Desconhecido,0,1,0,0,0,1,confronto,Desconhecido
12,6,15:00,Nova Iguaçu,Marapicu,Favela Dom Bosco,0,1,0,0,0,1,operação,Desconhecido
14,6,8:00,Rio de Janeiro,Quintino,Desconhecido,0,1,0,0,0,1,Ação Policial,Desconhecido
14,6,17:30,Rio de Janeiro,Catumbi,Morro da Coroa,0,1,0,0,0,1,operação,Desconhecido
18,6,23:00,São Gonçalo,Brasilândia,Brasilândia,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
18,6,1:00,Nova Iguaçu,Austin,Desconhecido,0,1,0,0,0,1,Tentativa de roubo,Desconhecido
20,6,22:00,Duque de Caxias,Vila Maria Helena,Rua Teixeira de Souza,0,1,0,0,0,1,Tentativa de roubo,Policial Militar
25,6,10:00,Nova Iguaçu,Rancho Novo,Rancho Novo,1,1,1,0,0,1,Tentativa de roubo,Desconhecido
26,6,23:00,Rio de Janeiro,Recreio dos Bandeirantes ,Avenida Guignard,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
27,6,9:27,Rio de Janeiro,Engenho de Dentro,Rua Adolpho Bergamini,1,0,0,0,1,0,Tentativa de roubo,Policial Civil
27,6,8:00,Rio de Janeiro,Andaraí,Rua Ferreira Pontes,1,0,0,0,1,0,Tentativa de roubo,Desconhecido
27,6,15:00,Rio de Janeiro,Vila Isabel,Rua Senador Nabuco,0,1,0,0,0,1,Tentativa de roubo,Policial Militar
28,6,6:00,Belford Roxo,Bom Pastor,Gogó da Ema,0,1,0,0,0,1,Operação,Policial Militar
28,6,6:50,Rio de Janeiro,Vila Isabel,Morro dos Macacos,1,0,0,0,1,0,Operação,Policial Militar
