periodo,bairro,disparos,presenca_policial,mortos,feridos
ano antes,Cidade de Deus,114,13,10,40
ano antes,Complexo do Alemão,110,13,17,37
ano antes,Copacabana,92,11,3,20
ano antes,Tijuca,89,7,9,19
ano antes,Vila Kennedy,85,8,5,24
ano antes,Mangueira,84,8,7,7
ano antes,Praça Seca,79,18,6,5
ano antes,Maré,77,15,9,28
ano antes,Lins de Vasconcelos,69,8,3,10
ano antes,Penha,62,3,7,13
durante,Vila Kennedy,217,21,5,13
durante,Praça Seca,181,24,10,11
durante,Complexo do Alemão,150,31,13,14
durante,Cidade de Deus,140,25,9,7
durante,Tijuca,134,12,3,10
durante,Rocinha,111,30,19,14
durante,Santa Cruz,96,9,7,2
durante,Realengo,85,6,7,6
durante,Taquara,85,7,5,5
durante,Pavuna,80,10,4,4
