dia,mes,hora,municipio,bairro,localidade,atingidos,mortos,feridos,agentes mortos,agentes feridos,presenca_policial,motivo
16,3,20:30,Rio de Janeiro,Complexo do Alemão,Nova Brasília,4,3,1,0,0,sim,Bala Perdida
24,2,20:00,Rio de Janeiro,Copacabana,Morro do Cantagalo ,1,1,0,0,0,não,Bala Perdida
9,3,6:20,Rio de Janeiro,Praça Seca,Menezes - Travessa Antonina,1,1,0,0,0,sim,Bala Perdida
14,5,17:00,Rio de Janeiro,Rocinha,Valão,2,1,1,0,0,sim,Bala Perdida
6,6,15:00,Rio de Janeiro,Catumbi,Morro da Coroa,1,1,0,0,0,não,Bala Perdida
20,6,9:44,Rio de Janeiro,Maré,Vila Pinheiro,1,1,0,0,0,sim,Bala Perdida
5,7,14:35,Nova Iguaçu,Centro,Rua Dom Walmor,2,1,1,0,0,sim,Bala Perdida
20,7,21:03,Rio de Janeiro,Manguinhos,Avenida dos Democráticos,1,1,0,0,0,sim,Bala Perdida
3,8,7:00,Rio de Janeiro,Jardim América,Furquim Mendes,1,1,0,0,0,sim,Bala Perdida
8,8,9:00,Rio de Janeiro,Manguinhos,Rua Uranos,1,1,0,0,0,não,Bala Perdida
14,8,7:50,Rio de Janeiro,Santa Teresa,Morro do Fallet,1,1,0,0,0,sim,Bala Perdida
21,8,13:00,São João de Meriti,São João de Meriti,Centro,1,1,0,0,0,não,Bala Perdida
24,8,-,Rio de Janeiro,Costa Barros,-,3,1,2,0,0,desconhecido,Bala Perdida
27,8,7:45,Rio de Janeiro,Triagem,Bairro Carioca/Rocha,1,1,0,0,0,sim,Bala Perdida
9,9,3:00,Itaboraí,Calundu,BR-101,2,1,1,0,0,sim,Bala Perdida
10,9,3:00,Duque de Caxias,Piriquitos,Complexo da Mangueirinha,1,1,0,0,0,sim,Bala Perdida
21,2,-,Duque de Caxias,Imbariê,Duque de Caxias,1,0,1,0,0,sim,Bala Perdida
24,2,9:30,Rio de Janeiro,Copacabana,Morro do Cantagalo ,1,0,1,0,0,desconhecido,Bala Perdida
9,3,20:00,Rio de Janeiro,Engenho da Rainha,Rua Bororó 63,1,0,1,0,0,Não,Bala Perdida
19,3,20:34,São Gonçalo,Nova Cidade,Rua União,1,0,1,0,0,não,Bala Perdida
28,3,-,Nova Iguaçu,Caioaba,Caioaba,1,0,1,0,0,não,Bala Perdida
9,4,-,Rio de Janeiro,Madureira,Rua Riacho Doce,1,0,1,0,0,não,Bala Perdida
9,4,12:35,Rio de Janeiro,Madureira,Morro da Serrinha,1,0,1,0,0,não,Bala Perdida
