periodo,municipio,disparos,presenca_policial,mortos,feridos
ano antes,Rio de Janeiro,2491,307,348,568
ano antes,São Gonçalo,323,42,119,85
ano antes,Belford Roxo,82,9,46,8
ano antes,Niterói,153,19,40,36
ano antes,Duque de Caxias,163,12,41,29
ano antes,Nova Iguaçu,114,10,66,36
ano antes,São João de Meriti,86,5,19,16
ano antes,Itaboraí,35,7,24,10
ano antes,Mesquita,47,4,13,16
ano antes,Itaguaí,16,1,2,0
ano antes,Queimados,38,5,31,5
ano antes,Japeri,18,3,20,8
ano antes,Nilópolis,26,0,10,10
ano antes,Magé,13,1,7,4
ano antes,Seropédica,0,0,0,0
ano antes,Maricá,5,0,3,2
ano antes,Paracambi,1,0,1,0
ano antes,Rio Bonito,0,0,0,0
ano antes,Tanguá,0,0,0,0
ano antes,Cachoeiras de Macacu,0,0,0,0
ano antes,Guapimirim,5,0,2,0
ano antes,Não identificado,1,0,1,0
durante,Rio de Janeiro,3454,579,304,407
durante,São Gonçalo,602,134,153,112
durante,Belford Roxo,433,64,73,41
durante,Niterói,330,58,61,42
durante,Duque de Caxias,239,41,52,27
durante,Nova Iguaçu,214,40,89,43
durante,São João de Meriti,119,20,13,8
durante,Itaboraí,103,20,35,21
durante,Mesquita,79,7,9,4
durante,Itaguaí,64,21,17,11
durante,Queimados,55,8,31,7
durante,Japeri,54,15,7,18
durante,Nilópolis,48,4,2,2
durante,Magé,22,2,7,5
durante,Seropédica,16,0,7,2
durante,Maricá,15,2,11,5
durante,Paracambi,5,2,1,0
durante,Rio Bonito,2,1,0,1
durante,Tanguá,2,0,0,0
durante,Cachoeiras de Macacu,1,0,0,0
