bairros,disparos,presenca_policial,mortos,feridos
Vila Kennedy,217,21,5,13
Praça Seca,181,24,10,11
Complexo do Alemão,150,31,13,14
Cidade de Deus,140,25,9,7
Tijuca,134,12,3,10
Rocinha,111,30,19,14
Santa Cruz,96,9,7,2
Realengo,85,6,7,6
Taquara,85,7,5,5
Pavuna,80,10,4,4
Maré,77,12,7,12
Copacabana,76,15,3,10
Bangu,73,10,14,11
Jardim Catarina,68,18,6,9
Vicente de Carvalho,62,13,4,7
Não identificado,60,4,6,3
Penha,58,13,10,5
Santa Rosa,58,8,6,4
Vila Isabel,58,16,2,13
Amendoeira,57,3,1,2
Engenho Novo,56,9,4,11
Vidigal,52,10,0,3
Madureira,51,14,4,5
Tanque,51,10,0,1
Anchieta,46,7,0,3
Cordovil,46,7,3,2
Rio Comprido,46,6,3,4
Manguinhos,44,11,4,3
São José,42,5,10,1
Botafogo,41,6,3,5
Piam,39,11,9,5
Fonseca,38,7,14,5
Guadalupe,37,8,2,7
Redentor,36,4,3,1
Acari,34,21,8,3
Bom Pastor,34,9,5,3
Leme,34,8,1,3
Piedade,34,5,4,2
Jóquei,31,8,11,6
Lins de Vasconcelos,31,8,9,1
Quintino Bocaiúva,31,2,1,7
Santa Teresa (Rio de Janeiro),31,10,2,5
Campo Grande,30,3,5,5
Gambôa,30,12,0,4
Centro (Belford Roxo),28,4,7,3
Costa Barros,28,3,1,4
Icaraí,28,4,0,3
Colubandê,26,5,4,6
Cascadura,25,0,4,5
Chatuba,25,1,1,1
Ingá,25,4,6,2
Penha Circular,25,7,0,3
Engenhoca,24,2,9,4
Jacarezinho,24,7,0,4
Caju,23,6,6,2
Catumbi,23,7,2,3
São Francisco,23,3,4,2
Irajá,22,2,5,2
Méier,22,3,2,9
Pauline,22,1,2,1
Sampaio,22,3,1,0
São Cristóvão (Rio de Janeiro),22,6,2,6
Senador Camará,22,2,0,0
Brisa Mar,21,9,6,6
Cavalcanti,21,3,3,3
Estácio,21,9,3,3
Olavo Bilac,21,1,1,0
Pilares,21,4,2,3
Barra da Tijuca,20,1,6,11
Centro (Nilópolis),20,2,1,2
