bairros,disparos,presenca_policial,mortos,feridos
São José,42,5,10,1
Piam,39,11,9,5
Redentor,36,4,3,1
Bom Pastor,34,9,5,3
Centro,28,4,7,3
Pauline,22,1,2,1
Glaucia,18,2,0,1
Santa Amélia,16,1,4,1
Santa Tereza,16,2,2,0
Vale do Ipê,13,1,1,0
Vila Santa Teresa,11,0,1,0
Das Graças,9,0,0,3
Areia Branca,8,0,3,0
Barro Vermelho,8,2,0,0
Heliópolis,8,0,2,0
Parque Roseiral,8,4,0,4
Maringá,7,1,0,0
Andrade Araújo,6,0,0,2
Hiterland,5,0,0,0
Jardim São Bento,5,0,0,0
Parque Martinho,5,0,1,0
Parque São Vicente,5,2,3,1
Não identificado,4,0,0,0
Jardim Santa Marta,4,1,0,0
Nova Aurora,4,0,1,0
Parque Amorim,4,0,0,1
Parque Floresta,4,3,1,1
Santo Antônio da Prata,4,3,0,6
São Francisco de Assis,4,0,2,0
Wona,4,2,0,0
Belford Roxo,3,0,1,3
Boa Sorte,3,0,0,1
Jardim Ideal,3,0,0,0
São Leopoldo,3,1,3,0
Vila Rica,3,0,0,0
Chácara Santo Antônio,2,1,1,0
Gláucia,2,0,0,0
Itaipu,2,0,3,0
Nova Piam,2,0,1,0
Vila Dagmar,2,0,3,1
Vilar Novo,2,0,0,0
BNH,1,0,0,0
Boa Esperança,1,0,0,0
Boa Ventura,1,0,0,0
Dois Irmãos,1,0,0,0
Heliopolis,1,0,1,0
Jardim Itaipu,1,0,0,0
Jardim Silvana,1,1,0,0
Lote XV,1,0,0,0
Maringa,1,1,0,1
Miguel Couto,1,0,0,0
Parque Aida,1,0,0,0
Parque Colonial,1,1,2,0
Parque Esperança,1,1,0,0
Parque Sao Bernardo,1,0,0,0
Peixoto,1,0,0,0
Retiro dos Califas,1,0,0,0
Santa Maria,1,0,0,0
São Bernardo,1,0,0,0
São Vicente,1,0,0,1
Shangri-lá,1,0,0,0
Sitio Retiro Feliz,1,0,0,0
Sublime,1,0,0,0
Vila Esperança,1,0,0,0
Vila São Teodoro,1,0,0,0
Xavantes,1,0,1,0
"Fonte: O Fogo Cruzado é um Data lab, laboratório de dados sobre violência armada, que agrega e disponibiliza informações através de um aplicativo e mapa colaborativo",,,,
"* Presença de Agentes: Situações em que são percebidas a presença de agentes de segurança durante o tiroteio/disparo. Exemplo: Operação, Ação, Assalto a agentes etc                                ",,,,
**Dados parciais até às 09 hrs do dia 15 de setembro,,,,
