bairros,disparos,presenca_policial,mortos,feridos
Jardim Catarina,68,18,6,9
Amendoeira,57,3,1,2
Joquei,31,8,11,6
Colubande,26,5,4,6
Bom Retiro,17,6,6,4
Guaxindiba,17,5,3,3
Maria Paula,16,3,3,1
Rio do Ouro,16,8,6,2
Barro Vermelho,15,2,7,9
Tribobo,14,3,4,1
Itauna,13,3,3,2
Santa Luzia,13,4,2,2
Arsenal,12,2,2,0
Boacu,12,3,3,3
Porto Novo,12,1,4,0
Morro do Castro,11,3,3,0
Boa Vista,10,2,7,1
Alcantara,9,2,3,2
Mutua,9,2,6,2
Salgueiro,9,5,0,7
Vila Lage,9,2,4,3
Laranjal,8,2,3,4
Porto do Rosa,8,2,3,1
Rocha,8,2,1,1
Camarao,7,0,2,1
Mutondo,7,2,2,1
Neves,7,4,3,2
Pacheco,7,0,2,0
Santa Catarina,7,0,2,0
Nao identificados,6,0,0,0
Almerinda,6,1,1,2
Miriambi,6,0,2,2
Paraiso,6,3,1,4
Pita,6,2,3,3
Coelho,5,0,0,0
Mutuapira,5,3,4,1
Raul Veiga,5,1,0,4
Santa Isabel,5,0,0,0
Trindade,5,2,4,1
Vila Candoza,5,1,4,0
Vista Alegre,5,0,0,0
Brasilandia,4,0,0,0
Centro,4,1,0,0
Covanca,4,2,2,2
Engenho Pequeno,4,0,2,0
Gradim,4,1,2,1
Jardim Nova Republica,4,0,0,0
Porto Velho,4,0,1,0
Galo Branco,3,2,0,0
Portao do Rosa,3,1,0,0
Porto da Pedra,3,0,1,1
Venda da Cruz,3,2,1,2
Vila Tres,3,0,0,0
Antonina,2,1,0,1
Arrastao,2,1,2,1
Guarani,2,1,0,1
Lagoinha,2,2,1,0
Luiz Cacador,2,1,0,0
Monjolos,2,0,1,0
Nova Cidade,2,0,3,1
Novo Mexico,2,0,1,0
Patronato,2,0,0,0
Sacramento,2,1,0,2
Ze Garoto,2,0,2,0
Anaia Grande,1,0,0,0
Barracao,1,0,0,0
Engenho do Rocado,1,0,0,0
Estrela do Norte,1,0,0,1
Ipiiba,1,0,0,0
Ipiuba,1,0,0,0
Itaoca,1,0,4,0
Jardim Bom Retiro,1,0,1,0
Lindo Parque,1,1,0,1
Mutuaguacu,1,1,2,1
Novo Mexico,1,1,0,2
Parada 40,1,0,1,0
Sao Miguel,1,0,0,1
Sete Pontes,1,0,0,2
Tiradentes,1,0,0,0
Varzea das Mocas,1,0,0,0
Zumbi,1,0,1,0
